J	15											
J_0	5											
I	197											
S	4											
K_f	3											
N	2											
												
J-ID	type	x	y	CL_j	CP_j(6-8W)	CF_j	theta_jk0	theta_jk1	theta_jk2	f_jk0	f_jk1	f_jk2
4	-1	985683.2091	192656.3581	4.415114837	27.12141971							
5	-1	988178.8513	192450.5731	7.208609303	44.28145715							
6	-1	991359.6298	191092.1259	5.795674019	35.60199755							
7	-1	994105.1701	190302.2379	5.040642226	30.9639451							
8	-1	997838.1212	190288.8297	15.69343525	96.40253079							
9	-1	1003166.083	189441.4786	14.89529397	91.49966296							
10	-1	1004970.32	194680.0701	10.32727244	63.43895926							
11	-1	1008385.664	191130.5872	10.91796033	67.06747058							
12	-1	1016960.699	187967.183	7.611199083	46.75450865							
13	-1	1014906.298	184303.05	7.534129885	46.28108358							
14	-1	1015311.315	179655.8078	9.326428615	57.29091864							
15	-1	1018549.04	176482.9548	2.997956583	18.41601901							
16	-1	1021394.398	183603.8291	8.016428218	49.24377334							
17	-1	984231.5127	186337.5734	10.41067609	63.95129598							
18	-1	989864.2692	184046.3694	10.10081569	62.04786779							
19	-1	989791.938	178294.7375	4.156457942	25.53252736							
20	-1	981443.3444	177356.6125	9.584909553	58.87873011							
21	-1	982062.8541	173319.4046	9.784268915	60.10336619							
22	-1	993244.1889	186150.6905	4.137630535	25.41687329							
23	-1	1000366.94	184791.5357	15.00473927	92.17196979							
24	-1	999227.5118	182197.5502	8.901668245	54.68167636							
25	-1	998687.6248	179650.976	8.712162479	53.51756951							
26	-1	975942.2613	167594.2649	15.2693787	93.79761203							
27	-1	981239.0617	166606.2153	8.227048833	50.53758569							
28	-1	986119.416	162708.3789	18.46387934	113.4209731							
29	-1	982171.7845	159427.7619	5.818900353	35.7446736							
30	-1	988211.5797	157618.1465	10.64944984	65.41804899							
31	-1	984419.5798	172749.9163	6.26970237	38.51388599							
32	-1	987151.4965	169875.0787	16.52324879	101.4999569							
33	-1	990895.88	172863.3427	7.34761539	45.13535168							
34	-1	991656.8531	164914.9609	6.886431905	42.30236742							
35	-1	990371.1531	153496.4407	5.343112432	32.82197637							
36	-1	987592.6193	149483.6585	8.712866307	53.52189303							
37	-1	995168.2027	150254.7446	5.906526974	36.28295141							
38	-1	996352.7998	172694.6139	11.70167312	71.88170632							
39	-1	993633.4521	171185.0524	7.568969385	46.49509765							
40	-1	996577.5327	165299.769	9.306545466	57.16877929							
41	-1	993727.7756	157543.0329	9.290005501	57.06717665							
42	-1	998651.1184	159669.9938	7.296059968	44.81865409							
43	-1	1000496.539	153617.8489	12.15581832	74.67145542							
44	-1	1008201.925	185808.4777	6.677922776	41.02152562							
45	-1	1009350.799	181222.6746	10.64012411	65.36076239							
46	-1	998085.9397	175568.0404	8.391392737	51.54712682							
47	-1	1001557.485	172143.7491	6.038318821	37.0925299							
48	-1	1003742.04	176663.2419	7.524276289	46.22055435							
49	-1	1006677.083	178367.0059	6.88256085	42.27858808							
50	-1	1003653.756	167455.9465	11.80443205	72.51293975							
51	-1	1006866.607	163342.0356	8.26206429	50.75268064							
52	-1	1011597.297	172228.3361	15.82417135	97.205624							
53	-1	1007159.535	233493.9012	10.15589025	62.38618296							
54	-1	1008371.722	237406.1816	7.504745054	46.10057676							
55	-1	1016090.241	234719.1202	2.662406448	16.35478247							
56	-1	1012879.744	238397.9091	7.089134452	43.5475402							
57	-1	1010612.421	240700.3205	6.617217586	40.64862231							
58	-1	1010942.19	244446.8132	4.320273975	26.53882585							
59	-1	1015050.541	242470.43	5.306513361	32.5971535							
60	-1	1005912.72	240496.4032	12.20913332	74.9989618							
61	-1	1004238.499	244178.3679	5.710862711	35.0810138							
62	-1	1007926.99	245501.4122	8.736444555	53.66673084							
63	-1	1007453.787	249644.5963	9.621684581	59.10463385							
64	-1	1010693.703	248923.6532	8.639316251	53.07008554							
65	-1	1012152.834	252156.2864	5.648046036	34.69513994							
66	-1	1017832.415	245797.1843	3.545007118	21.7764723							
67	-1	1014197.803	247855.7175	5.657019847	34.75026478							
68	-1	1015493.691	251750.1028	6.303662085	38.72249566							
69	-1	1010595.439	254282.1262	8.188690191	50.30195403							
70	-1	1014452.404	257562.1417	9.769312564	60.01149146							
71	-1	1017706.142	258869.994	7.648150068	46.98149327							
72	-1	1012157.641	259059.4811	6.295216145	38.67061346							
73	-1	1010318.041	260208.6227	4.013052929	24.65161085							
74	-1	1009467.489	265628.212	8.433094563	51.80329517							
75	-1	1019335.561	241556.7501	13.08100061	80.35471801							
76	-1	1023249.317	236641.0462	6.562670894	40.31354978							
77	-1	1026126.112	239715.6161	7.288141899	44.77001453							
78	-1	1023545.195	244525.8343	5.912509515	36.31970131							
79	-1	1026879.345	244509.4258	3.057430074	18.78135617							
80	-1	1033898.98	240092.9882	8.46635045	52.00758133							
81	-1	1036392.372	247408.1212	5.184047239	31.84486161							
82	-1	1032296.264	257135.4964	6.575339803	40.39137308							
83	-1	1021608.585	248221.1042	5.705408042	35.04750654							
84	-1	1025280.258	249646.2559	4.412475481	27.10520652							
85	-1	1026654.09	254186.1035	5.173489815	31.78000886							
86	-1	1021810.644	254093.5764	6.092161685	37.42327892							
87	-1	1022763.209	260289.6092	10.79426251	66.30761253							
88	-1	1029442.413	260492.5027	9.103315049	55.92036387							
89	-1	1024621.702	266470.6128	8.385586154	51.5114578							
90	-1	981414.9475	197252.3423	9.32431713	57.27794809							
91	-1	982244.5243	200613.6343	4.467550044	27.4435217							
92	-1	983773.1464	202883.146	4.097512323	25.17043284							
93	-1	985445.6728	205486.3273	6.008406119	36.90878044							
94	-1	982616.5275	206990.603	6.160433029	37.84266003							
95	-1	986006.2751	198993.1149	7.488029133	45.99789324							
96	-1	988729.9431	200486.4461	8.648114105	53.1241295							
97	-1	989213.4779	203766.9373	12.56966936	77.21368319							
98	-1	983931.1732	212300.1441	12.27142212	75.38159302							
99	-1	986354.9388	217687.2009	10.47366872	64.33825071							
100	-1	987089.4436	210354.3014	5.844238171	35.90032019							
101	-1	989344.5922	215367.703	4.500102102	27.64348434							
102	-1	990739.8639	205900.0577	3.961145592	24.3327515							
103	-1	988668.7949	207725.0734	5.037299041	30.9434084							
104	-1	990914.3989	210430.743	11.17679318	68.65744381							
105	-1	992975.6576	214761.06	8.052675375	49.46643445							
106	-1	988488.7513	221578.0976	12.43963708	76.41491349							
107	-1	990913.8663	226262.3845	17.90662329	109.9978288							
108	-1	993301.4524	230468.8167	9.105954405	55.93657706							
109	-1	996691.0512	217980.9249	15.04908045	92.44435133							
110	-1	995003.2114	221537.1809	10.98148083	67.45766795							
111	-1	998462.1023	222483.9593	14.78848803	90.84356931							
112	-1	994834.2026	234189.9671	6.838571582	42.00836829							
113	-1	997031.1176	237311.2514	3.903255716	23.97714226							
114	-1	998512.0438	240590.1026	8.6940389	53.40623896							
115	-1	997731.9384	232323.5798	8.289865507	50.92345954							
116	-1	1000605.532	237642.9976	14.66197489	90.0664172							
117	-1	999271.6514	227106.4851	10.52469627	64.65170567							
118	-1	1001570.479	231335.2637	11.37650445	69.88424165							
119	-1	1000426.302	245649.4303	12.67541956	77.86329156							
120	-1	1002658.894	251323.8032	12.64110793	77.65252012							
121	-1	1006563.713	254815.0855	6.387065737	39.23483238							
122	-1	1010489.482	222524.9452	8.837443914	54.28715547							
123	-1	1003245.2	220579.7815	3.330339491	20.45779973							
124	-1	1005563.886	217738.4256	9.188478271	56.44350938							
125	-1	1009096.046	216019.9367	6.804787824	41.80083949							
126	-1	1001444.701	215561.7447	5.798489333	35.61929161							
127	-1	998406.6404	210845.6552	5.668633014	34.8216028							
128	-1	1004633.381	208313.7092	9.198683781	56.50620037							
129	-1	1011569.031	210028.0196	9.358804716	57.4898004							
130	-1	1015737.887	214555.9588	17.92087581	110.08538							
131	-1	1019651.197	217678.7282	5.90740676	36.28835581							
132	-1	1022247.31	214031.1318	7.642519441	46.94690514							
133	-1	1017749.881	208685.9334	18.97943355	116.587949							
134	-1	1023242.086	210093.688	12.98950293	79.79266085							
135	-1	1010548.545	202724.6917	7.61137504	46.75558953							
136	-1	1010952.564	196389.871	11.68390146	71.77253753							
137	-1	1018701.366	195621.4527	6.182251705	37.97668905							
138	-1	1018032.87	201335.0891	6.065944081	37.26222793							
139	-1	1022105.752	203896.6051	5.409096333	33.22730605							
140	-1	1026472.043	202161.6712	15.65402086	96.16041386							
141	-1	1028590.194	224442.7016	5.916556527	36.34456153							
142	-1	1036616.776	226564.2673	4.998588486	30.70561498							
143	-1	1043077.571	224204.2515	4.097512323	25.17043284							
144	-1	1036665.36	219456.8454	10.09764846	62.02841196							
145	-1	1037426.384	213968.8006	6.106414208	37.51083013							
146	-1	1034215.445	210062.7683	4.159273255	25.54982142							
147	-1	1030906.023	216290.7175	12.2957042	75.53075435							
148	-1	1034197.597	204067.3115	6.336038186	38.92137743							
149	-1	1038734.811	204230.9291	6.276212782	38.55387852							
150	-1	1043488.806	207105.1198	4.123378012	25.32932208							
151	-1	1045894.822	201939.909	4.148363916	25.48280692							
152	-1	1037240.963	198696.7649	6.913705251	42.46990369							
153	-1	1031726.588	197281.6481	4.288249788	26.34210584							
154	-1	1030621.65	193433.2706	6.000136136	36.85797912							
155	-1	1032816.939	191197.6362	4.247779662	26.09350364							
156	-1	1026026.83	188720.1018	4.805739535	29.52097143							
157	-1	1023791.534	191234.7547	7.381047233	45.34071872							
158	-1	1034311.197	185688.5762	13.99562546	85.97312784							
159	-1	1026685.182	185445.0616	4.138158406	25.42011592							
160	-1	1027519.463	179787.0291	4.807147192	29.52961847							
161	-1	1043537.198	214512.5814	6.366478759	39.10836952							
162	-1	1048630.561	216895.5061	6.261960259	38.4663273							
163	-1	1057135.753	217621.746	4.445027539	27.30516917							
164	-1	1052260.251	208724.0113	4.442740097	27.29111774							
165	-1	1040927.549	195839.6046	10.73214966	65.92606219							
166	-1	1042003.535	192302.615	7.812669929	47.99211528							
167	-1	1042521.659	186921.5866	7.581990209	46.57508271							
168	-1	1047480.205	184674.1725	5.78599638	35.54254919							
169	-1	1050187.637	191934.587	9.117391614	56.0068342							
170	-1	1050199.318	198720.5896	4.324320988	26.56368607							
171	-1	1064338.964	211181.9737	4.111061017	25.25366054							
172	-1	1059992.325	207357.4081	4.67447556	28.71463558							
173	-1	1055838.711	200273.356	9.562387048	58.74037758							
174	-1	1057581.817	192357.65	3.35743688	20.62425512							
175	-1	1055119.043	185636.2236	4.59036808	28.19797535							
176	-1	1050425.834	179886.011	4.065136222	24.97155108							
177	-1	1057591.101	179499.8369	4.768612593	29.29290593							
178	-1	1051852.344	158588.1587	10.31953033	63.39140058							
179	-1	1040821.669	154869.2512	7.278816175	44.71272793							
180	-1	1022989.67	149957.4063	4.246547962	26.08593748							
181	-1	960512.3434	173256.5475	3.615741861	22.21098572							
182	-1	962365.6512	167395.8743	3.347935198	20.56588765							
183	-1	964045.3897	162141.3569	4.488664893	27.5732272							
184	-1	956129.4028	168117.1083	6.512171214	40.00333746							
185	-1	948492.3404	164095.5717	5.535257554	34.0022964							
186	-1	947285.4731	170230.0923	3.978213428	24.43759677							
187	-1	937794.194	169335.129	5.893154237	36.2008046							
188	-1	961678.0797	155532.4479	6.380027454	39.19159722							
189	-1	956028.5432	148534.0976	5.117359509	31.43520841							
190	-1	948625.1125	154132.5007	5.775262999	35.47661557							
191	-1	935529.4394	159281.4012	7.54345561	46.33837018							
192	-1	950187.1332	144054.4652	3.939326916	24.19872248							
193	-1	941182.4487	139789.9333	9.624675851	59.1230088							
194	-1	929531.7343	140683.2217	5.398890823	33.16461506							
195	-1	929195.1806	131849.1206	7.132243934	43.8123556							
196	-1	918783.2068	130511.3995	2.830973323	17.3902647							
												
s	 beta_{0s} 	DTs	Q_{s}	r_s(km)	a_{sn0}	a_{sn1}	F_s					
0	-2	2	10	20	1	1	250000					
1	-2	12	6	40	1	1	250000					
2	-2.22	0.5	2.26	10	0	1	1000000					
3	-2.22	1	2.36	20	0	1	1E+20					
												
B_l	10000000											
B_f	10000000											
beta_{05}	0											
beta_{tt}	1.4											
beta_{tc}	0.0035											
beta_{dt}	0.092											
beta_{dc}	0.34											
lambda_L	0.8											
lambda_F	0.2											
lambda	0.5
